                                                             THRESHOLD=48 MAX_P=12
Heartbeat CPU  0 instructions:   42000001 cycles:   50829409 heartbeat IPC: 0.79838 cumulative IPC: 0.80317 (Simulation time: 0 hr 8 min 35 sec) 
Heartbeat CPU  0 instructions:   43000001 cycles:   52090429 heartbeat IPC: 0.79301 cumulative IPC: 0.80292 (Simulation time: 0 hr 8 min 48 sec) 
Heartbeat CPU  0 instructions:   44000000 cycles:   53363143 heartbeat IPC: 0.78572 cumulative IPC: 0.80250 (Simulation time: 0 hr 9 min 1 sec) 
Heartbeat CPU  0 instructions:   45000002 cycles:   54612587 heartbeat IPC: 0.80036 cumulative IPC: 0.80245 (Simulation time: 0 hr 9 min 14 sec) 
Heartbeat CPU  0 instructions:   46000003 cycles:   55883897 heartbeat IPC: 0.78659 cumulative IPC: 0.80208 (Simulation time: 0 hr 9 min 27 sec) 
Heartbeat CPU  0 instructions:   47000001 cycles:   57142250 heartbeat IPC: 0.79469 cumulative IPC: 0.80192 (Simulation time: 0 hr 9 min 40 sec) 
Heartbeat CPU  0 instructions:   48000000 cycles:   58389213 heartbeat IPC: 0.80195 cumulative IPC: 0.80192 (Simulation time: 0 hr 9 min 53 sec) 
Heartbeat CPU  0 instructions:   49000000 cycles:   59579126 heartbeat IPC: 0.84040 cumulative IPC: 0.80270 (Simulation time: 0 hr 10 min 4 sec) 
Heartbeat CPU  0 instructions:   50000000 cycles:   60696575 heartbeat IPC: 0.89490 cumulative IPC: 0.80442 (Simulation time: 0 hr 10 min 19 sec) 
Heartbeat CPU  0 instructions:   51000000 cycles:   61741330 heartbeat IPC: 0.95716 cumulative IPC: 0.80705 (Simulation time: 0 hr 10 min 33 sec) 
Heartbeat CPU  0 instructions:   52000000 cycles:   62777976 heartbeat IPC: 0.96465 cumulative IPC: 0.80970 (Simulation time: 0 hr 10 min 45 sec) 
Heartbeat CPU  0 instructions:   53000002 cycles:   63826343 heartbeat IPC: 0.95387 cumulative IPC: 0.81211 (Simulation time: 0 hr 10 min 58 sec) 
Heartbeat CPU  0 instructions:   54000003 cycles:   64873368 heartbeat IPC: 0.95509 cumulative IPC: 0.81445 (Simulation time: 0 hr 11 min 10 sec) 
Heartbeat CPU  0 instructions:   55000001 cycles:   65924349 heartbeat IPC: 0.95149 cumulative IPC: 0.81667 (Simulation time: 0 hr 11 min 22 sec) 
Heartbeat CPU  0 instructions:   56000000 cycles:   66967360 heartbeat IPC: 0.95876 cumulative IPC: 0.81892 (Simulation time: 0 hr 11 min 35 sec) 
Heartbeat CPU  0 instructions:   57000000 cycles:   68020500 heartbeat IPC: 0.94954 cumulative IPC: 0.82097 (Simulation time: 0 hr 11 min 47 sec) 
Heartbeat CPU  0 instructions:   58000001 cycles:   69061427 heartbeat IPC: 0.96068 cumulative IPC: 0.82311 (Simulation time: 0 hr 12 min 0 sec) 
Heartbeat CPU  0 instructions:   59000001 cycles:   70096626 heartbeat IPC: 0.96600 cumulative IPC: 0.82525 (Simulation time: 0 hr 12 min 12 sec) 
Heartbeat CPU  0 instructions:   60000000 cycles:   71131619 heartbeat IPC: 0.96619 cumulative IPC: 0.82733 (Simulation time: 0 hr 12 min 26 sec) 
Heartbeat CPU  0 instructions:   61000001 cycles:   72178522 heartbeat IPC: 0.95520 cumulative IPC: 0.82921 (Simulation time: 0 hr 12 min 40 sec) 
Heartbeat CPU  0 instructions:   62000001 cycles:   73210081 heartbeat IPC: 0.96941 cumulative IPC: 0.83122 (Simulation time: 0 hr 12 min 52 sec) 
Heartbeat CPU  0 instructions:   63000000 cycles:   74234872 heartbeat IPC: 0.97581 cumulative IPC: 0.83324 (Simulation time: 0 hr 13 min 5 sec) 
Heartbeat CPU  0 instructions:   64000000 cycles:   75260719 heartbeat IPC: 0.97480 cumulative IPC: 0.83520 (Simulation time: 0 hr 13 min 17 sec) 
Heartbeat CPU  0 instructions:   65000003 cycles:   76233458 heartbeat IPC: 1.02803 cumulative IPC: 0.83769 (Simulation time: 0 hr 13 min 28 sec) 
Heartbeat CPU  0 instructions:   66000000 cycles:   77659662 heartbeat IPC: 0.70116 cumulative IPC: 0.83515 (Simulation time: 0 hr 13 min 41 sec) 
Heartbeat CPU  0 instructions:   67000001 cycles:   78908365 heartbeat IPC: 0.80083 cumulative IPC: 0.83460 (Simulation time: 0 hr 13 min 55 sec) 
Heartbeat CPU  0 instructions:   68000000 cycles:   80135825 heartbeat IPC: 0.81469 cumulative IPC: 0.83429 (Simulation time: 0 hr 14 min 8 sec) 
Heartbeat CPU  0 instructions:   69000001 cycles:   81356420 heartbeat IPC: 0.81927 cumulative IPC: 0.83406 (Simulation time: 0 hr 14 min 21 sec) 
Heartbeat CPU  0 instructions:   70000001 cycles:   82587678 heartbeat IPC: 0.81218 cumulative IPC: 0.83373 (Simulation time: 0 hr 14 min 33 sec) 
Heartbeat CPU  0 instructions:   71000003 cycles:   83790014 heartbeat IPC: 0.83172 cumulative IPC: 0.83370 (Simulation time: 0 hr 14 min 46 sec) 
Heartbeat CPU  0 instructions:   72000000 cycles:   85011908 heartbeat IPC: 0.81840 cumulative IPC: 0.83348 (Simulation time: 0 hr 14 min 58 sec) 
Heartbeat CPU  0 instructions:   73000001 cycles:   86249096 heartbeat IPC: 0.80829 cumulative IPC: 0.83311 (Simulation time: 0 hr 15 min 10 sec) 
Heartbeat CPU  0 instructions:   74000001 cycles:   87503497 heartbeat IPC: 0.79719 cumulative IPC: 0.83259 (Simulation time: 0 hr 15 min 23 sec) 
Heartbeat CPU  0 instructions:   75000001 cycles:   88745834 heartbeat IPC: 0.80493 cumulative IPC: 0.83220 (Simulation time: 0 hr 15 min 35 sec) 
Heartbeat CPU  0 instructions:   76000000 cycles:   89979487 heartbeat IPC: 0.81060 cumulative IPC: 0.83190 (Simulation time: 0 hr 15 min 49 sec) 
Heartbeat CPU  0 instructions:   77000003 cycles:   91217455 heartbeat IPC: 0.80778 cumulative IPC: 0.83157 (Simulation time: 0 hr 16 min 1 sec) 
Heartbeat CPU  0 instructions:   78000002 cycles:   92440767 heartbeat IPC: 0.81745 cumulative IPC: 0.83138 (Simulation time: 0 hr 16 min 13 sec) 
Heartbeat CPU  0 instructions:   79000001 cycles:   93659207 heartbeat IPC: 0.82072 cumulative IPC: 0.83124 (Simulation time: 0 hr 16 min 26 sec) 
Heartbeat CPU  0 instructions:   80000000 cycles:   94884711 heartbeat IPC: 0.81599 cumulative IPC: 0.83104 (Simulation time: 0 hr 16 min 38 sec) 
Heartbeat CPU  0 instructions:   81000000 cycles:   96131231 heartbeat IPC: 0.80223 cumulative IPC: 0.83066 (Simulation time: 0 hr 16 min 50 sec) 
Heartbeat CPU  0 instructions:   82000000 cycles:   97397852 heartbeat IPC: 0.78950 cumulative IPC: 0.83012 (Simulation time: 0 hr 17 min 3 sec) 
Heartbeat CPU  0 instructions:   83000003 cycles:   98679644 heartbeat IPC: 0.78016 cumulative IPC: 0.82947 (Simulation time: 0 hr 17 min 16 sec) 
Heartbeat CPU  0 instructions:   84000000 cycles:   99946611 heartbeat IPC: 0.78928 cumulative IPC: 0.82895 (Simulation time: 0 hr 17 min 30 sec) 
Heartbeat CPU  0 instructions:   85000003 cycles:  101182115 heartbeat IPC: 0.80939 cumulative IPC: 0.82871 (Simulation time: 0 hr 17 min 44 sec) 
Heartbeat CPU  0 instructions:   86000002 cycles:  102411451 heartbeat IPC: 0.81345 cumulative IPC: 0.82853 (Simulation time: 0 hr 17 min 57 sec) 
Heartbeat CPU  0 instructions:   87000001 cycles:  103647004 heartbeat IPC: 0.80935 cumulative IPC: 0.82830 (Simulation time: 0 hr 18 min 9 sec) 
Heartbeat CPU  0 instructions:   88000000 cycles:  104879264 heartbeat IPC: 0.81152 cumulative IPC: 0.82810 (Simulation time: 0 hr 18 min 22 sec) 
Heartbeat CPU  0 instructions:   89000002 cycles:  106102083 heartbeat IPC: 0.81778 cumulative IPC: 0.82798 (Simulation time: 0 hr 18 min 34 sec) 
Heartbeat CPU  0 instructions:   90000002 cycles:  107233189 heartbeat IPC: 0.88409 cumulative IPC: 0.82857 (Simulation time: 0 hr 18 min 45 sec) 
Heartbeat CPU  0 instructions:   91000001 cycles:  108498516 heartbeat IPC: 0.79031 cumulative IPC: 0.82812 (Simulation time: 0 hr 19 min 0 sec) 
Heartbeat CPU  0 instructions:   92000000 cycles:  109770910 heartbeat IPC: 0.78592 cumulative IPC: 0.82763 (Simulation time: 0 hr 19 min 14 sec) 
Heartbeat CPU  0 instructions:   93000000 cycles:  111028869 heartbeat IPC: 0.79494 cumulative IPC: 0.82726 (Simulation time: 0 hr 19 min 28 sec) 
Heartbeat CPU  0 instructions:   94000001 cycles:  112249658 heartbeat IPC: 0.81914 cumulative IPC: 0.82717 (Simulation time: 0 hr 19 min 40 sec) 
Heartbeat CPU  0 instructions:   95000000 cycles:  113480067 heartbeat IPC: 0.81274 cumulative IPC: 0.82701 (Simulation time: 0 hr 19 min 53 sec) 
Heartbeat CPU  0 instructions:   96000000 cycles:  114716258 heartbeat IPC: 0.80894 cumulative IPC: 0.82681 (Simulation time: 0 hr 20 min 6 sec) 
Heartbeat CPU  0 instructions:   97000002 cycles:  115937009 heartbeat IPC: 0.81917 cumulative IPC: 0.82673 (Simulation time: 0 hr 20 min 19 sec) 
Heartbeat CPU  0 instructions:   98000000 cycles:  117176469 heartbeat IPC: 0.80680 cumulative IPC: 0.82652 (Simulation time: 0 hr 20 min 32 sec) 
Heartbeat CPU  0 instructions:   99000000 cycles:  118400801 heartbeat IPC: 0.81677 cumulative IPC: 0.82642 (Simulation time: 0 hr 20 min 44 sec) 
Heartbeat CPU  0 instructions:  100000000 cycles:  119639420 heartbeat IPC: 0.80735 cumulative IPC: 0.82622 (Simulation time: 0 hr 20 min 58 sec) 
Heartbeat CPU  0 instructions:  101000001 cycles:  120895839 heartbeat IPC: 0.79591 cumulative IPC: 0.82590 (Simulation time: 0 hr 21 min 11 sec) 
Heartbeat CPU  0 instructions:  102000003 cycles:  122129347 heartbeat IPC: 0.81070 cumulative IPC: 0.82575 (Simulation time: 0 hr 21 min 24 sec) 
Heartbeat CPU  0 instructions:  103000001 cycles:  123363260 heartbeat IPC: 0.81043 cumulative IPC: 0.82559 (Simulation time: 0 hr 21 min 37 sec) 
Heartbeat CPU  0 instructions:  104000000 cycles:  124583463 heartbeat IPC: 0.81953 cumulative IPC: 0.82553 (Simulation time: 0 hr 21 min 50 sec) 
Heartbeat CPU  0 instructions:  105000001 cycles:  125823790 heartbeat IPC: 0.80624 cumulative IPC: 0.82534 (Simulation time: 0 hr 22 min 3 sec) 
Heartbeat CPU  0 instructions:  106000000 cycles:  127058669 heartbeat IPC: 0.80980 cumulative IPC: 0.82519 (Simulation time: 0 hr 22 min 17 sec) 
Heartbeat CPU  0 instructions:  107000000 cycles:  128307148 heartbeat IPC: 0.80097 cumulative IPC: 0.82495 (Simulation time: 0 hr 22 min 32 sec) 
Heartbeat CPU  0 instructions:  108000000 cycles:  129555860 heartbeat IPC: 0.80083 cumulative IPC: 0.82472 (Simulation time: 0 hr 22 min 45 sec) 
Heartbeat CPU  0 instructions:  109000000 cycles:  130825330 heartbeat IPC: 0.78773 cumulative IPC: 0.82435 (Simulation time: 0 hr 23 min 0 sec) 
Heartbeat CPU  0 instructions:  110000002 cycles:  132086725 heartbeat IPC: 0.79277 cumulative IPC: 0.82405 (Simulation time: 0 hr 23 min 13 sec) 
Heartbeat CPU  0 instructions:  111000002 cycles:  133342180 heartbeat IPC: 0.79652 cumulative IPC: 0.82379 (Simulation time: 0 hr 23 min 29 sec) 
Heartbeat CPU  0 instructions:  112000000 cycles:  134556576 heartbeat IPC: 0.82345 cumulative IPC: 0.82379 (Simulation time: 0 hr 23 min 42 sec) 
Heartbeat CPU  0 instructions:  113000000 cycles:  135778504 heartbeat IPC: 0.81838 cumulative IPC: 0.82374 (Simulation time: 0 hr 23 min 54 sec) 
Heartbeat CPU  0 instructions:  114000000 cycles:  136905901 heartbeat IPC: 0.88700 cumulative IPC: 0.82426 (Simulation time: 0 hr 24 min 6 sec) 
Heartbeat CPU  0 instructions:  115000002 cycles:  137943563 heartbeat IPC: 0.96371 cumulative IPC: 0.82532 (Simulation time: 0 hr 24 min 21 sec) 
Heartbeat CPU  0 instructions:  116000000 cycles:  138986555 heartbeat IPC: 0.95878 cumulative IPC: 0.82633 (Simulation time: 0 hr 24 min 39 sec) 
Heartbeat CPU  0 instructions:  117000000 cycles:  140017248 heartbeat IPC: 0.97022 cumulative IPC: 0.82739 (Simulation time: 0 hr 24 min 52 sec) 
Heartbeat CPU  0 instructions:  118000003 cycles:  141045819 heartbeat IPC: 0.97223 cumulative IPC: 0.82846 (Simulation time: 0 hr 25 min 5 sec) 
Heartbeat CPU  0 instructions:  119000001 cycles:  142090145 heartbeat IPC: 0.95755 cumulative IPC: 0.82941 (Simulation time: 0 hr 25 min 18 sec) 
Heartbeat CPU  0 instructions:  120000000 cycles:  143117088 heartbeat IPC: 0.97376 cumulative IPC: 0.83046 (Simulation time: 0 hr 25 min 30 sec) 
Heartbeat CPU  0 instructions:  121000001 cycles:  144153005 heartbeat IPC: 0.96533 cumulative IPC: 0.83143 (Simulation time: 0 hr 25 min 43 sec) 
Heartbeat CPU  0 instructions:  122000000 cycles:  145175738 heartbeat IPC: 0.97777 cumulative IPC: 0.83247 (Simulation time: 0 hr 25 min 55 sec) 
Heartbeat CPU  0 instructions:  123000003 cycles:  146193844 heartbeat IPC: 0.98222 cumulative IPC: 0.83352 (Simulation time: 0 hr 26 min 8 sec) 
Heartbeat CPU  0 instructions:  124000000 cycles:  147215119 heartbeat IPC: 0.97917 cumulative IPC: 0.83454 (Simulation time: 0 hr 26 min 21 sec) 
Heartbeat CPU  0 instructions:  125000003 cycles:  148241754 heartbeat IPC: 0.97406 cumulative IPC: 0.83551 (Simulation time: 0 hr 26 min 34 sec) 
Heartbeat CPU  0 instructions:  126000001 cycles:  149258418 heartbeat IPC: 0.98361 cumulative IPC: 0.83653 (Simulation time: 0 hr 26 min 47 sec) 
Heartbeat CPU  0 instructions:  127000002 cycles:  150289206 heartbeat IPC: 0.97013 cumulative IPC: 0.83745 (Simulation time: 0 hr 27 min 0 sec) 
Heartbeat CPU  0 instructions:  128000000 cycles:  151320397 heartbeat IPC: 0.96975 cumulative IPC: 0.83836 (Simulation time: 0 hr 27 min 14 sec) 
Heartbeat CPU  0 instructions:  129000000 cycles:  152328348 heartbeat IPC: 0.99211 cumulative IPC: 0.83938 (Simulation time: 0 hr 27 min 28 sec) 
Heartbeat CPU  0 instructions:  130000000 cycles:  152902229 heartbeat IPC: 1.74252 cumulative IPC: 0.84279 (Simulation time: 0 hr 27 min 32 sec) 
Heartbeat CPU  0 instructions:  131000000 cycles:  153274042 heartbeat IPC: 2.68952 cumulative IPC: 0.84730 (Simulation time: 0 hr 27 min 33 sec) 
Heartbeat CPU  0 instructions:  132000000 cycles:  154388957 heartbeat IPC: 0.89693 cumulative IPC: 0.84767 (Simulation time: 0 hr 27 min 38 sec) 
Heartbeat CPU  0 instructions:  133000003 cycles:  161885726 heartbeat IPC: 0.13339 cumulative IPC: 0.81438 (Simulation time: 0 hr 28 min 5 sec) 
Heartbeat CPU  0 instructions:  134000002 cycles:  169771633 heartbeat IPC: 0.12681 cumulative IPC: 0.78225 (Simulation time: 0 hr 28 min 35 sec) 
Heartbeat CPU  0 instructions:  135000002 cycles:  177587703 heartbeat IPC: 0.12794 cumulative IPC: 0.75328 (Simulation time: 0 hr 29 min 3 sec) 
Heartbeat CPU  0 instructions:  136000000 cycles:  185440394 heartbeat IPC: 0.12734 cumulative IPC: 0.72663 (Simulation time: 0 hr 29 min 32 sec) 
Heartbeat CPU  0 instructions:  137000000 cycles:  189969713 heartbeat IPC: 0.22078 cumulative IPC: 0.71450 (Simulation time: 0 hr 29 min 48 sec) 
Heartbeat CPU  0 instructions:  138000002 cycles:  192493399 heartbeat IPC: 0.39625 cumulative IPC: 0.71031 (Simulation time: 0 hr 29 min 55 sec) 
Heartbeat CPU  0 instructions:  139000000 cycles:  195229095 heartbeat IPC: 0.36554 cumulative IPC: 0.70545 (Simulation time: 0 hr 30 min 4 sec) 
Heartbeat CPU  0 instructions:  140000000 cycles:  197877612 heartbeat IPC: 0.37757 cumulative IPC: 0.70104 (Simulation time: 0 hr 30 min 12 sec) 
Heartbeat CPU  0 instructions:  141000002 cycles:  200347068 heartbeat IPC: 0.40495 cumulative IPC: 0.69737 (Simulation time: 0 hr 30 min 20 sec) 
Heartbeat CPU  0 instructions:  142000001 cycles:  202786780 heartbeat IPC: 0.40988 cumulative IPC: 0.69389 (Simulation time: 0 hr 30 min 29 sec) 
Heartbeat CPU  0 instructions:  143000000 cycles:  205206753 heartbeat IPC: 0.41323 cumulative IPC: 0.69057 (Simulation time: 0 hr 30 min 37 sec) 
Heartbeat CPU  0 instructions:  144000000 cycles:  207716748 heartbeat IPC: 0.39841 cumulative IPC: 0.68702 (Simulation time: 0 hr 30 min 45 sec) 
Heartbeat CPU  0 instructions:  145000000 cycles:  210157721 heartbeat IPC: 0.40967 cumulative IPC: 0.68378 (Simulation time: 0 hr 30 min 53 sec) 
Heartbeat CPU  0 instructions:  146000003 cycles:  212613875 heartbeat IPC: 0.40714 cumulative IPC: 0.68057 (Simulation time: 0 hr 31 min 1 sec) 
